id,category,name,description,preview_url,markdown_snippet,setup_guide,where_to_place
stats-card,Stats & Metrics,GitHub Stats Card,Shows your total stars commits PRs issues and contribution count,https://github-readme-stats.vercel.app/api?username={username}&show_icons=true&theme=tokyonight&hide_border=true,"![GitHub Stats](https://github-readme-stats.vercel.app/api?username={username}&show_icons=true&theme=tokyonight)",No setup needed|Just add the markdown to your README|Replace {username} with your GitHub username|Stats update automatically,SKILLS SECTION
streak-stats,Stats & Metrics,Streak Stats,Shows your longest and current coding streak,"https://streak-stats.demolab.com?user={username}&theme=tokyonight&hide_border=true","[![GitHub Streak](https://streak-stats.demolab.com?user={username}&theme=tokyonight)](https://git.io/streak-stats)",No setup needed|Add the markdown to your README|Replace {username} with your GitHub username|Streak updates daily,SKILLS SECTION
top-langs,Stats & Metrics,Top Languages,Shows your most used programming languages by repo,https://github-readme-stats.vercel.app/api/top-langs/?username={username}&layout=compact&theme=tokyonight&hide_border=true,"![Top Langs](https://github-readme-stats.vercel.app/api/top-langs/?username={username}&layout=compact&theme=tokyonight)",No setup needed|Add the markdown to your README|Replace {username} with your GitHub username|Languages are calculated from your public repos,SKILLS SECTION
activity-graph,Stats & Metrics,Activity Graph,Visual contribution history as a line/area chart,https://github-readme-activity-graph.vercel.app/graph?username={username}&theme=tokyo-night&hide_border=true,"[![Activity Graph](https://github-readme-activity-graph.vercel.app/graph?username={username}&theme=tokyo-night)](https://github.com/ashutosh00710/github-readme-activity-graph)",No setup needed|Add the markdown to your README|Replace {username} with your GitHub username|Graph shows last year of contributions,SKILLS SECTION
trophies,Stats & Metrics,GitHub Trophies,Achievement trophies based on your GitHub activity,https://github-profile-trophy.vercel.app/?username={username}&theme=tokyonight&no-frame=true&row=1&column=6,"![Trophies](https://github-profile-trophy.vercel.app/?username={username}&theme=tokyonight&no-frame=true)",No setup needed|Add the markdown to your README|Replace {username} with your GitHub username|Trophies update based on your GitHub activity,SKILLS SECTION
wakatime-stats,Stats & Metrics,WakaTime Stats,Shows your weekly coding activity and language breakdown,https://github-readme-stats.vercel.app/api/wakatime?username={username}&layout=compact&theme=tokyonight,"![WakaTime](https://github-readme-stats.vercel.app/api/wakatime?username={username}&layout=compact&theme=tokyonight)",1. Create account at wakatime.com|2. Install WakaTime plugin in VS Code or your IDE|3. Code for at least 1 day to generate data|4. Replace {username} with your WakaTime username|5. Stats appear after initial data collection,SKILLS SECTION
metrics,Stats & Metrics,GitHub Metrics,Highly customizable GitHub metrics infographic,https://img.shields.io/badge/GitHub-Metrics-blue?style=for-the-badge&logo=github,"![Metrics](https://metrics.lecoq.io/{username}?template=classic)",1. Go to github.com/lowlighter/metrics|2. Use the online configurator at metrics.lecoq.io|3. Copy the generated GitHub Action YAML|4. Create .github/workflows/metrics.yml in your profile repo|5. Run the action and add the generated image to README,SKILLS SECTION
wave-header-dark,Header / Banner,Wave Header Dark,Animated waving header with dark gradient colors,https://capsule-render.vercel.app/api?type=waving&color=0:0f0c29%2C50:302b63%2C100:24243e&height=200&section=header&text={username}&fontSize=40&fontColor=ffffff&animation=fadeIn,"![Header](https://capsule-render.vercel.app/api?type=waving&color=0:0f0c29%2C50:302b63%2C100:24243e&height=200&section=header&text={username}&fontSize=40&fontColor=ffffff&animation=fadeIn)",No setup needed|Copy the markdown snippet|Replace {username} with your name|Paste at the very top of your README.md|Customize colors by changing hex values after color=,TOP
wave-header-blue,Header / Banner,Wave Header Blue,Animated waving header with blue-purple gradient,https://capsule-render.vercel.app/api?type=waving&color=gradient&customColorList=0%2C2%2C2%2C5%2C30&height=200&section=header&text={username}&fontSize=40&fontColor=ffffff&animation=twinkling,"![Header](https://capsule-render.vercel.app/api?type=waving&color=gradient&customColorList=0%2C2%2C2%2C5%2C30&height=200&section=header&text={username}&fontSize=40&fontColor=ffffff&animation=twinkling)",No setup needed|Copy the markdown|Replace {username} with your name|Paste at the top of README.md|Change customColorList for different gradients,TOP
wave-footer,Header / Banner,Wave Footer,Animated waving footer to close your README,https://capsule-render.vercel.app/api?type=waving&color=0:0f0c29%2C50:302b63%2C100:24243e&height=120&section=footer,"![Footer](https://capsule-render.vercel.app/api?type=waving&color=0:0f0c29%2C50:302b63%2C100:24243e&height=120&section=footer)",No setup needed|Copy the markdown|Paste at the very bottom of your README|Matches the Wave Header Dark style|Change colors to match your header,BOTTOM
typing-fira,Typing Animation,Fira Code Typing,Animated typing effect with Fira Code font,https://readme-typing-svg.demolab.com?font=Fira+Code&pause=1000&color=6366F1&width=435&lines=Hello+World!;I+am+{username};Welcome+to+my+profile!,"[![Typing SVG](https://readme-typing-svg.demolab.com?font=Fira+Code&pause=1000&color=6366F1&width=435&lines=Hello+World!;I+am+{username};Welcome+to+my+profile!)](https://git.io/typing-svg)",No setup needed|Copy the markdown snippet|Replace {username} with your name|Edit the lines= parameter to change displayed text|Separate multiple lines with semicolons,AFTER BIO
typing-roboto,Typing Animation,Roboto Mono Typing,Clean monospace typing animation with Roboto Mono,https://readme-typing-svg.demolab.com?font=Roboto+Mono&pause=1000&color=58A6FF&width=435&lines=Software+Developer;Open+Source+Enthusiast,"[![Typing SVG](https://readme-typing-svg.demolab.com?font=Roboto+Mono&pause=1000&color=58A6FF&width=435&lines=Software+Developer;Open+Source+Enthusiast)](https://git.io/typing-svg)",No setup needed|Copy the markdown|Change lines= to your roles|Adjust color hex code|Change font to any Google Font name,AFTER BIO
typing-custom-role,Typing Animation,Custom Role Typer,Role-based typing lines for your profile intro,https://readme-typing-svg.demolab.com?font=Fira+Code&duration=3000&pause=500&color=6366F1&width=500&lines={role1};{role2};{role3},"[![Typing SVG](https://readme-typing-svg.demolab.com?font=Fira+Code&duration=3000&pause=500&color=6366F1&width=500&lines={role1};{role2};{role3})](https://git.io/typing-svg)",No setup needed|Copy the markdown|Replace {role1} {role2} {role3} with your actual roles|Add more lines with semicolons|Adjust duration and pause timing,AFTER BIO
badge-followers,Badges & Shields,GitHub Followers,Shows your GitHub follower count as a badge,https://img.shields.io/github/followers/{username}?style=for-the-badge&logo=github&color=6366f1,"![Followers](https://img.shields.io/github/followers/{username}?style=for-the-badge&logo=github&color=6366f1)",No setup needed|Copy the markdown|Replace {username} with your GitHub username|Badge updates automatically|Change style to flat or plastic if preferred,AFTER BIO
badge-stars,Badges & Shields,GitHub Stars,Shows total stars across your repos,https://img.shields.io/github/stars/{username}?style=for-the-badge&logo=github&color=f59e0b&affiliations=OWNER,"![Stars](https://img.shields.io/github/stars/{username}?style=for-the-badge&logo=github&color=f59e0b&affiliations=OWNER)",No setup needed|Copy the markdown|Replace {username} with your GitHub username|Shows cumulative stars on all your repos|Change color as desired,AFTER BIO
